school,degree,dates,thesis,highlight
"Northwest Ecological Research Institute","Support","2012 - Present / Portland, OR","Provided oversight, strategic direction, and support to the NERI’s mission, while ensuring fiduciary responsibility and representing the interests of our partners; brought in over $30k in grants, navigated conflicts, ensured legal compliance, and promoted the organization's mission and interests.",yes
"Confluence Environmental Center","Leadership","2012-2018 / Portland, OR","Provided leadership, presided over meetings, oversaw strategic planning and financial management, fostered board development, represented the organization externally, resolved conflicts, ensured legal compliance, and promoted the organization's mission and interests.",
